#{"t_start": 1768914618.9225135, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
24.420376,1000,588.691481,0.006619607
-27.241677,1000,595.158302,0.027105825
9.646631,1000,601.321001,0.00040713252
-0.088189,1000,607.978495,0.024205219
31.532551,1000,614.238283,0.0017449198
-0.277266,1000,620.591352,0.024540821
34.215318,1000,626.958839,0.027398527
23.41907,1000,633.41018,0.015741132
66.068205,1000,639.813089,0.011476979
50.531372,1000,646.08418,0.02597169
22.456425,1000,651.772513,0.011584221
45.95558,1000,655.066822,0.006777538
10.586806,1000,658.253174,0.0125648575
53.752488,1000,661.438917,0.023340214
7.33033,1000,664.541951,0.027323905
-5.971509,1000,667.722475,0.008969596
79.327328,1000,670.915516,0.013472693
444.754198,680,672.91704,0.0992421
470.20973,476,674.708549,0.31317487
485.149605,250,675.39774,0.20647947
422.6148,109,675.510106,0.060013607
511.001231,173,676.123168,0.07583158
521.615582,96,676.65854,0.013647079
507.107684,214,677.312514,0.025264984
388.777013,147,677.900708,0.004870439
572.544206,99,678.002357,0.05216291
473.900373,164,678.608659,0.024747605
534.81671,89,678.699704,0.00033453465
465.294695,87,679.226743,0.05158152
541.256975,93,679.323064,0.039324712
428.813804,101,679.865694,0.13065161
398.811228,86,679.955464,0.5678483
678.662045,94,680.489512,0.8199383
608.333705,97,680.589624,0.17442147
421.815596,94,681.125512,0.060027827
430.144902,82,681.209505,0.028014598
477.907153,83,681.294034,0.0067493776
441.722518,92,681.825849,0.031259164
640.397026,101,681.930067,0.49133933
546.374979,88,682.458601,0.05397257
483.620452,114,682.577151,0.07579387
662.197098,96,683.115272,0.8434052
